system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY_OLI,IMAGE_QUALITY_TIRS,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_end,system:time_start,system:version,.geo
1_LC08_225061_20190811,7.82,7.72,1.013543,2_23_0_1b,8.514,6.497,5.502,9.0,9.0,LC08_L1TP_225061_20190811_20190820_01_T1,1.566311482E12,generate_pixel_qa_1.6.0,LANDSAT_8,2019-08-11T13:35:34.3800910Z,58.207726,32.661907,LaSRC_1.3.0,225.0,61.0,575810790,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-50.339810908920434,-2.4937986214527172, -50.33939531616273,-2.4925426089223066, -50.29073435371335,-2.2631006394426607, -50.014026336672984,-0.9581586035055563, -49.97103209103065,-0.7553979551700979, -50.09112361076269,-0.729625697227579, -51.60494278004652,-0.4044716532405344, -51.605403875002544,-0.4058640166628448, -51.61185664848652,-0.4360734366739657, -51.70673242480722,-0.8815815626239387, -51.787172789512816,-1.259072545141565, -51.84497237420468,-1.5301710445387062, -51.97230529529279,-2.127147246278205, -51.974746179592906,-2.1386875800760636, -51.97474682566153,-2.1396885060824684, -51.44339548150977,-2.2550010352877563, -50.83037615685753,-2.387780273161129, -50.564574186985226,-2.4452597426542777, -50.3598758531005,-2.4894845569968553, -50.339810908920434,-2.4937986214527172)",LANDSAT/LC08/C01/T1_SR/LC08_225061_20190811,1.56553053438E12,1.56553053438E12,1566765867191188,"{""type"":""Polygon"",""coordinates"":[[[-50.339810908920434,-2.4937986214527172],[-50.33939531616273,-2.4925426089223066],[-50.29073435371335,-2.2631006394426607],[-50.014026336672984,-0.9581586035055563],[-49.97103209103065,-0.7553979551700979],[-50.09112361076269,-0.729625697227579],[-51.60494278004652,-0.4044716532405344],[-51.605403875002544,-0.4058640166628448],[-51.61185664848652,-0.4360734366739657],[-51.70673242480722,-0.8815815626239387],[-51.787172789512816,-1.259072545141565],[-51.84497237420468,-1.5301710445387062],[-51.97230529529279,-2.127147246278205],[-51.974746179592906,-2.1386875800760636],[-51.97474682566153,-2.1396885060824684],[-51.44339548150977,-2.2550010352877563],[-50.83037615685753,-2.387780273161129],[-50.564574186985226,-2.4452597426542777],[-50.3598758531005,-2.4894845569968553],[-50.339810908920434,-2.4937986214527172]]]}"
1_LC08_225061_20190912,1.06,1.06,1.006494,2_23_0_1b,8.94,6.574,6.059,9.0,9.0,LC08_L1TP_225061_20190912_20190917_01_T1,1.568742721E12,generate_pixel_qa_1.6.0,LANDSAT_8,2019-09-12T13:35:42.9600320Z,77.789566,26.700146,LaSRC_1.3.0,225.0,61.0,503797452,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-50.35705008966902,-2.489685076994293, -50.341909230691265,-2.4929404402752087, -50.34034532533709,-2.4929396207909944, -50.214025723087914,-1.8972269462638736, -50.01510450565995,-0.9589730075464616, -49.971934096488674,-0.7553454359921469, -49.972472097337146,-0.7548041927394956, -50.26798477443333,-0.6913912515158895, -51.49757866547355,-0.42731972646338084, -51.604923504242734,-0.40425789156626235, -51.60633338340445,-0.4042578065046025, -51.62579733180592,-0.49566144091273245, -51.72265342489562,-0.950513332551735, -51.82146867266145,-1.4142968881245597, -51.87307085666744,-1.6563540669615533, -51.94930907489418,-2.013725185644134, -51.97338395750659,-2.126603787779425, -51.975824799720996,-2.1381441441455773, -51.97582544579988,-2.139107982232823, -50.35705008966902,-2.489685076994293)",LANDSAT/LC08/C01/T1_SR/LC08_225061_20190912,1.56829534296E12,1.56829534296E12,1601197355599890,"{""type"":""Polygon"",""coordinates"":[[[-50.35705008966902,-2.489685076994293],[-50.341909230691265,-2.4929404402752087],[-50.34034532533709,-2.4929396207909944],[-50.214025723087914,-1.8972269462638736],[-50.01510450565995,-0.9589730075464616],[-49.971934096488674,-0.7553454359921469],[-49.972472097337146,-0.7548041927394956],[-50.26798477443333,-0.6913912515158895],[-51.49757866547355,-0.42731972646338084],[-51.604923504242734,-0.40425789156626235],[-51.60633338340445,-0.4042578065046025],[-51.62579733180592,-0.49566144091273245],[-51.72265342489562,-0.950513332551735],[-51.82146867266145,-1.4142968881245597],[-51.87307085666744,-1.6563540669615533],[-51.94930907489418,-2.013725185644134],[-51.97338395750659,-2.126603787779425],[-51.975824799720996,-2.1381441441455773],[-51.97582544579988,-2.139107982232823],[-50.35705008966902,-2.489685076994293]]]}"
1_LC08_225062_20190811,2.31,2.31,1.013543,2_23_0_1b,8.95,6.832,5.782,9.0,9.0,LC08_L1TP_225062_20190811_20190820_01_T1,1.566311599E12,generate_pixel_qa_1.6.0,LANDSAT_8,2019-08-11T13:35:58.2965460Z,56.521919,33.616909,LaSRC_1.3.0,225.0,62.0,556275104,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-50.44314246116443,-2.165956831435351, -51.63281203677319,-1.9105400488461122, -51.91217214340313,-1.8504322700541629, -51.91312712878032,-1.8504317634505545, -51.91632186077783,-1.8652983154663436, -52.02697353643324,-2.383286005015365, -52.057572377927926,-2.5265450419822226, -52.079243116397755,-2.628017902414335, -52.25425808329872,-3.4463377913885265, -52.27831053806577,-3.559091026642555, -52.28358270356486,-3.5839927352467003, -52.283584326005936,-3.585175962909874, -52.26943921590367,-3.588269623114885, -51.11737082702161,-3.8379329325025173, -50.68019199860607,-3.932241807682724, -50.64612989735629,-3.939558014973693, -50.64550373969704,-3.936722387148985, -50.64172777697743,-3.919078656099836, -50.27766978745803,-2.2014181576559095, -50.29394056183736,-2.1979189227913456, -50.44314246116443,-2.165956831435351)",LANDSAT/LC08/C01/T1_SR/LC08_225062_20190811,1.565530558296E12,1.565530558296E12,1566759748091419,"{""type"":""Polygon"",""coordinates"":[[[-50.44314246116443,-2.165956831435351],[-51.63281203677319,-1.9105400488461122],[-51.91217214340313,-1.8504322700541629],[-51.91312712878032,-1.8504317634505545],[-51.91632186077783,-1.8652983154663436],[-52.02697353643324,-2.383286005015365],[-52.057572377927926,-2.5265450419822226],[-52.079243116397755,-2.628017902414335],[-52.25425808329872,-3.4463377913885265],[-52.27831053806577,-3.559091026642555],[-52.28358270356486,-3.5839927352467003],[-52.283584326005936,-3.585175962909874],[-52.26943921590367,-3.588269623114885],[-51.11737082702161,-3.8379329325025173],[-50.68019199860607,-3.932241807682724],[-50.64612989735629,-3.939558014973693],[-50.64550373969704,-3.936722387148985],[-50.64172777697743,-3.919078656099836],[-50.27766978745803,-2.2014181576559095],[-50.29394056183736,-2.1979189227913456],[-50.44314246116443,-2.165956831435351]]]}"
1_LC08_226061_20191005,10.1,10.13,1.0001,2_23_0_1b,9.619,7.262,6.308,9.0,9.0,LC08_L1TP_226061_20191005_20191018_01_T1,1.571386067E12,generate_pixel_qa_1.6.0,LANDSAT_8,2019-10-05T13:42:00.4245059Z,98.358864,24.325462,LaSRC_1.3.0,226.0,61.0,584977405,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-51.92314850857482,-2.487521020540416, -51.89739377353389,-2.4930697037951584, -51.896311639099466,-2.493070478259836, -51.894311248400484,-2.4839028612965053, -51.711256440646025,-1.6211140010822223, -51.5278635271832,-0.7551817561121319, -51.52843391207029,-0.7546074359771985, -53.16040737173042,-0.4045335634755344, -53.16198578202958,-0.4045331435119635, -53.164215405748266,-0.4147810930663601, -53.25032669665432,-0.8191292835704055, -53.29545540669893,-1.0309103573701823, -53.40803140508575,-1.5588082223106452, -53.465225643507225,-1.8269234717860061, -53.50131196071237,-1.9960750315333884, -53.52853529670143,-2.1237477321053, -53.53185589654029,-2.139487549668609, -53.02378628599065,-2.249585875873764, -52.41092101221908,-2.3821790008110106, -51.92314850857482,-2.487521020540416)",LANDSAT/LC08/C01/T1_SR/LC08_226061_20191005,1.570282920424E12,1.570282920424E12,1571566269095473,"{""type"":""Polygon"",""coordinates"":[[[-51.92314850857482,-2.487521020540416],[-51.89739377353389,-2.4930697037951584],[-51.896311639099466,-2.493070478259836],[-51.894311248400484,-2.4839028612965053],[-51.711256440646025,-1.6211140010822223],[-51.5278635271832,-0.7551817561121319],[-51.52843391207029,-0.7546074359771985],[-53.16040737173042,-0.4045335634755344],[-53.16198578202958,-0.4045331435119635],[-53.164215405748266,-0.4147810930663601],[-53.25032669665432,-0.8191292835704055],[-53.29545540669893,-1.0309103573701823],[-53.40803140508575,-1.5588082223106452],[-53.465225643507225,-1.8269234717860061],[-53.50131196071237,-1.9960750315333884],[-53.52853529670143,-2.1237477321053],[-53.53185589654029,-2.139487549668609],[-53.02378628599065,-2.249585875873764],[-52.41092101221908,-2.3821790008110106],[-51.92314850857482,-2.487521020540416]]]}"
1_LC08_226062_20190701,7.07,7.07,1.016719,2_23_0_1b,9.0,7.27,5.307,9.0,9.0,LC08_L1TP_226062_20190701_20190706_01_T1,1.562402171E12,generate_pixel_qa_1.6.0,LANDSAT_8,2019-07-01T13:41:56.4983970Z,45.23251,37.910866,LaSRC_1.3.0,226.0,62.0,572200122,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.84447703422491,-3.584795896372381, -53.84319297594784,-3.585230357282791, -53.44316932907163,-3.6720140173948344, -52.419972501504986,-3.8931936251363135, -52.25631522986799,-3.928457433271419, -52.20804956823648,-3.938845990098598, -52.20703770800131,-3.9388474605123256, -52.20466033636228,-3.9277830652686427, -52.02243917486801,-3.071188279298424, -51.84072483069885,-2.2144512253532533, -51.83785314687788,-2.2006878134745054, -51.839088447588544,-2.200272807130214, -53.397853010616416,-1.8658567671027346, -53.46898133781819,-1.850572228840847, -53.47328843314481,-1.849699154119277, -53.524635851569776,-2.089857449954899, -53.61705889553965,-2.522159091441105, -53.72523411286467,-3.0270052271514425, -53.83399006349967,-3.534997465022482, -53.8440646747551,-3.582356627054562, -53.84447703422491,-3.584795896372381)",LANDSAT/LC08/C01/T1_SR/LC08_226062_20190701,1.5619885165E12,1.5619885165E12,1563396478183857,"{""type"":""Polygon"",""coordinates"":[[[-53.84447703422491,-3.584795896372381],[-53.84319297594784,-3.585230357282791],[-53.44316932907163,-3.6720140173948344],[-52.419972501504986,-3.8931936251363135],[-52.25631522986799,-3.928457433271419],[-52.20804956823648,-3.938845990098598],[-52.20703770800131,-3.9388474605123256],[-52.20466033636228,-3.9277830652686427],[-52.02243917486801,-3.071188279298424],[-51.84072483069885,-2.2144512253532533],[-51.83785314687788,-2.2006878134745054],[-51.839088447588544,-2.200272807130214],[-53.397853010616416,-1.8658567671027346],[-53.46898133781819,-1.850572228840847],[-53.47328843314481,-1.849699154119277],[-53.524635851569776,-2.089857449954899],[-53.61705889553965,-2.522159091441105],[-53.72523411286467,-3.0270052271514425],[-53.83399006349967,-3.534997465022482],[-53.8440646747551,-3.582356627054562],[-53.84447703422491,-3.584795896372381]]]}"
